0;jogador;posicao;id_jogador;id_equipe;jogador_apelido;altura
1605;Marcus Vinícius Vieira de Sousa;Ala;367;2;Marquinhos;2.07
1606;Matheus Dalla Barba;Ala;412;15;Matheus Dalla;1.97
1607;Matheus Henrique Pereira;AlaPivo;998;15;Matheus P,;2.02
1609;Matheus dos Prazeres Costa;Armador;30;23;Matheus;1.8
1610;Matías Nocedal;AlaArmador;11726;23;Nocedal;1.92
1611;Maximiliano Ariel Stanic;Armador;11364;52;Maxi Stanic;1.78
1612;Maxwell Dias Ribeiro;AlaPivo;629;3;Maxwell;1.97
1613;Moisés Barbosa de Lima Silva;Pivo;820;16;Moisés;2.13
1614;Murilo Becker da Rosa;Pivo;187;13;Murilo;2.08
1616;Márcio da Silva Dornelles;Ala;445;87;Márcio;1.96
1617;Márcio de Mattos Junior;AlaArmador;539;16;Pitico;1.88
1619;Nicolás Laprovittola;Armador;11279;2;Laprovittola;1.86
1620;Olintho Pereira Abrão Silva;Ala;715;20;Dida;2.01
1621;Otis Michael George;Pivo;11359;87;George;2.04
1622;O’Neal Onami Mims;AlaPivo;11702;20;Mims;1.91
1623;Pablo Tavares Sueiro Vilela;AlaPivo;1262;87;Pablo;1.91
1624;Patrick Luis de Ana Vieira;AlaArmador;11387;13;Carioca;1.91
1626;Paulo Heitor Boracini;AlaArmador;210;18;Paulinho;1.91
1627;Paulo Sérgio Prestes;Pivo;1226;54;Prestes;2.08
1628;Pedro César Teruel Lima;AlaArmador;360;17;Pedro;1.91
1629;Pedro Henrique Cavalin de Macedo;Ala;567;54;P, Macedo;2.03
1630;Pedro Henrique Wellausen Rava;Armador;1018;87;Pedrinho;1.83
1631;Pedro Mendonça Ferreira da Silva;Armador;11430;14;Pedro;1.91
1634;Rafael Diogo da Silva;Armador;789;19;Rafinha;1.91
1635;Rafael Ferreira de Sousa;AlaPivo;107;15;Mineiro;1.91
1636;Rafael Hettsheimeir;Pivo;11657;13;Hettsheimeir;1.91
1637;Rafael Rodrigues;Pivo;35;19;Mineiro;1.91
1638;Ralfi Silva Ansaloni;Pivo;801;16;Ansaloni;1.91
1639;Rashaun Durrel Mc Lemore;AlaArmador;1227;53;Rashaun;1.91
1640;Renan Michel Leichtweis;Pivo;1038;20;Renan;1.91
1641;Renan Santos Lenz;Pivo;216;19;Renan;1.91
1642;Renato Carbonari;AlaPivo;145;17;Renato;2.05
1643;Ricardo Fischer;Armador;478;13;Fischer;1.85
1644;Ricardo Morandi Zanini;Ala;981;20;Zanini;1.98
1645;Ricardo Taboas de Bem;Pivo;431;87;De Bem;2.1
1646;Rinaldo José Alves Mafra;Pivo;11392;23;Mafra;2.01
1647;Robby Stephen Collum;AlaArmador;424;16;Collum;1.83
1648;Robert Andrew Day;Ala;425;13;Robert Day;1.97
1649;Robert Brandon Brown;Armador;11333;129;Brown;1.8
1650;Rodrigo César Silva;AlaPivo;167;20;Rodrigo Silva;2.05
1651;Rodrigo Reis Silva;Pivo;106;52;Rodrigo;2.06
1652;Ronald Ricardo Ramon Guerreiro;Armador;365;15;Ramon;1.91
1653;Ronald Rudson Rodrigues dos Reis;Pivo;437;3;Ronald;2.07
1654;Rômulo Vieira de Oliveira Junior;Pivo;975;53;Rômulo;2
1655;Shamell Jermaine Stallworth;Ala;137;54;Shamell;1.91
1656;Shilton Alessanco dos Santos;Pivo;43;16;Shilton;1.98
1657;Steven Anthony Toyloy;Pivo;859;52;Toyloy;1.91
1658;Sualisson Tavares da Silva;Ala;11287;53;Sualisson;1.91
1660;Tarvin Raphael Gaines;Ala;11661;23;Gaines;1.98
1661;Ted Marcos Bento Simões;Ala;11332;18;Ted;1.9
1662;Thiago César Carneiro Marcello;Ala;11304;23;Thiaguinho;1.86
1663;Thiago Farias Mathias Rosa;Pivo;175;13;Mathias;1.91
1664;Thiago Francisco Labbate;Pivo;308;17;Labbate;2.08
1666;Thomas Lutke Gehrke;AlaPivo;271;54;Gehrke;2.03
1667;Tiago Valentim de Lima;Pivo;62;53;Tiagão;1.91
1668;Tyrone Denell Curnell;AlaPivo;1016;54;Tyrone ;1.91
1669;Valter Apolinario da Silva;Armador;480;19;Valtinho;1.91
1670;Vernon Athelston Goodridge;Pivo;11727;3;Goodridge;2.06
1671;Victor Chastinet Aragão de Gusmão;Armador;1325;53;Victor;1.87
1672;Victor Matheus Leal Velozo;Pivo;11288;53;Leal;1.91
