"","jogador","id_jogador","jogador..3","jogador_apelido","Temporada","id_equipe","equipe","played_minutes","tried_two_points","made_two_points","lost_two_points","two_points","tried_three_points","made_three_points","lost_three_points","three_points","tried_free_throw_points","made_free_throw_points","lost_free_throw_points","tried_points","lost_points","total_points","offensive_rebounds","defensive_rebounds","total_assists","steals","free_throw_points","correct_two_points_throws","wrong_two_points_throws","two_points_throws_total","wrong_throws","tried_dunk_points","dunk_points","correct_three_points_throws","three_points_throws_total","wrong_three_points_throws","correct_free_throws","wrong_free_throws","total_free_throws","total_rebounds","total_of_blocks","commited_fouls","received_fouls","fouls","total_fouls","total_of_errors","mistakes","pos","exp"
"1821","Matheus Henrique Pereira",998,"Matheus Henrique Pereira","Matheus P,","NBB 9",16,"Minas",35.8,0.279329608938548,0.167597765363129,0.111731843575419,0.167597765363129,0.502793296089385,0.0837988826815643,0.418994413407821,0.0837988826815643,0.167597765363129,0.0279329608938548,0.139664804469274,0.949720670391062,0.670391061452514,0.279329608938548,0.0837988826815643,0.167597765363129,0.0837988826815643,0.0279329608938548,0.0279329608938548,0.0837988826815643,0.0558659217877095,0.139664804469274,0.335195530726257,0.111731843575419,0.111731843575419,0.0279329608938548,0.167597765363129,0.139664804469274,0.0279329608938548,0.139664804469274,0.167597765363129,0.251396648044693,0,0,0.111731843575419,0,0,0,0,"AlaPivo",5
"1822","Michael Somutochukwu Uchendu",11763,"Michael Somutochukwu Uchendu","Michael","NBB 9",13,"Bauru",115.0333333334,0.382497826716672,0.278180237612125,0.104317589104547,0.278180237612125,0,0,0,0,0.121703853955305,0.0434656621268946,0.0782381918284102,0.504201680671977,0.182555780932957,0.32164589973902,0.0521587945522735,0.191248913358336,0,0,0.0434656621268946,0.139090118806063,0.0521587945522735,0.191248913358336,0.130396986380684,0.0521587945522735,0.0521587945522735,0,0,0,0.0434656621268946,0.0782381918284102,0.121703853955305,0.243407707910609,0.0608519269776524,0.226021443059852,0.095624456679168,0.182555780932957,0,0.0869313242537891,0.0695450594030313,"Pivo",1
"1823","Murilo Becker da Rosa",187,"Murilo Becker da Rosa","Murilo","NBB 9",239,"Vasco da Gama",817.2166666668,0.511492260314399,0.26186445862986,0.249627801684539,0.26186445862986,0.135826892093058,0.0367099708359616,0.0991169212570964,0.0367099708359616,0.155405543205571,0.123590235147737,0.0318153080578334,0.802724695613028,0.380560030999469,0.422164664613559,0.0917749270899041,0.134603226398526,0.0428282993086219,0.022025982501577,0.123590235147737,0.13093222931493,0.12481390084227,0.255746130157199,0.189668182652468,0.0122366569453205,0.0122366569453205,0.0122366569453205,0.045275630697686,0.0330389737523655,0.123590235147737,0.0318153080578334,0.155405543205571,0.22637815348843,0.0171313197234488,0.12481390084227,0.135826892093058,0.104011584035225,0,0.0832092672281797,0.0611832847266027,"Pivo",9
"1824","Murilo Henriquy Cunha da Silva",11348,"Murilo Henriquy Cunha da Silva","Murilo","NBB 9",222,"Vitória",192.2666666665,0.18723994452166,0.0832177531207379,0.104022191400922,0.0832177531207379,0.343273231623044,0.0624133148405534,0.28085991678249,0.0624133148405534,0.0468099861304151,0.0156033287101384,0.0312066574202767,0.577323162275119,0.416088765603689,0.16123439667143,0.0260055478502306,0.0468099861304151,0.130027739251153,0.0260055478502306,0.0156033287101384,0.0416088765603689,0.0520110957004612,0.0936199722608301,0.176837725381568,0,0,0.0208044382801845,0.114424410541015,0.0936199722608301,0.0156033287101384,0.0312066574202767,0.0468099861304151,0.0728155339806456,0,0.0988210818308762,0.0572122052705073,0.0988210818308762,0,0.0364077669903228,0.0364077669903228,"Armador",2
"1825","Márcio da Silva Dornelles",445,"Márcio da Silva Dornelles","Márcio","NBB 9",239,"Vasco da Gama",446.95,0.241637767088041,0.107394563150241,0.134243203937801,0.107394563150241,0.355744490435172,0.187940485512921,0.167804004922251,0.187940485512921,0.0984450162210538,0.0827833090949771,0.0156617071260767,0.695827273744267,0.317708915986128,0.378118357758139,0.0313234142521535,0.107394563150241,0.0357981877167468,0.0201364805906701,0.0827833090949771,0.0536972815751203,0.0671216019689003,0.120818883544021,0.138717977402394,0,0,0.062646828504307,0.118581496811724,0.0559346683074169,0.0827833090949771,0.0156617071260767,0.0984450162210538,0.138717977402394,0.00447477346459335,0.107394563150241,0.0894954692918671,0.0984450162210538,0,0.0514598948428236,0.0357981877167468,"Ala",9
"1826","Márcio de Mattos Junior",539,"Márcio de Mattos Junior","Pitico","NBB 9",87,"Macaé Basquete",302.6500000001,0.383281017677058,0.118949281348053,0.264331736329006,0.118949281348053,0.356847844044158,0.0892119610110394,0.267635883033118,0.0892119610110394,0.118949281348053,0.0958202544192645,0.023129026928788,0.859078143069268,0.555096646290912,0.303981496778357,0.00660829340822514,0.105732694531602,0.118949281348053,0.0495622005616886,0.0958202544192645,0.0594746406740263,0.132165868164503,0.191640508838529,0.24450685610433,0,0,0.0297373203370131,0.118949281348053,0.0892119610110394,0.0958202544192645,0.023129026928788,0.118949281348053,0.112340987939827,0.00330414670411257,0.145382454980953,0.158599041797403,0.138774161572728,0,0.069387080786364,0.0627787873781388,"AlaArmador",5
"1827","Patrick Luis de Ana Vieira",11387,"Patrick Luis de Ana Vieira","Carioca","NBB 9",210,"Caxias do Sul",511.9666666663,0.503939058532818,0.277361807409535,0.226577251123282,0.277361807409535,0.328146363695788,0.0703170779348117,0.257829285760976,0.0703170779348117,0.253922781431265,0.191418712155876,0.0625040692753882,1.08600820365987,0.546910606159647,0.539097597500223,0.0214857738134147,0.111335373396785,0.0761768344293794,0.0742235822645235,0.191418712155876,0.138680903704768,0.113288625561641,0.251969529266409,0.261735790090688,0,0,0.0234390259782706,0.109382121231929,0.0859430952536588,0.191418712155876,0.0625040692753882,0.253922781431265,0.1328211472102,0.00976626082427941,0.109382121231929,0.203138225145012,0.0957093560779382,0,0.103522364737362,0.0761768344293794,"AlaArmador",3
"1828","Paulo Antônio da Costa Lourenço",1091,"Paulo Antônio da Costa Lourenço","Paulo","NBB 9",3,"Brasília",44.6833333333,0.447594181275977,0.268556508765586,0.179037672510391,0.268556508765586,0,0,0,0,0.0447594181275977,0.0447594181275977,0,0.492353599403575,0.179037672510391,0.313315926893184,0.0447594181275977,0.134278254382793,0.0223797090637989,0,0.0447594181275977,0.134278254382793,0.0895188362551955,0.223797090637989,0.0895188362551955,0.0895188362551955,0.0895188362551955,0,0,0,0.0447594181275977,0,0.0447594181275977,0.179037672510391,0,0.223797090637989,0.0223797090637989,0.223797090637989,0,0.111898545318994,0.111898545318994,"Ala",2
"1829","Paulo Heitor Boracini",210,"Paulo Heitor Boracini","Paulinho","NBB 9",16,"Minas",634.5333333332,0.340407648665758,0.14498844295023,0.195419205715528,0.14498844295023,0.600441269174323,0.174931708342125,0.425509560832197,0.174931708342125,0.0614624921202062,0.0457028787560508,0.0157596133641554,1.00231140996029,0.63668837991188,0.365623030048406,0.0204874973734021,0.0787980668207772,0.151292288295892,0.0220634587098176,0.0457028787560508,0.0724942214751151,0.0977096028577638,0.170203824332879,0.255305736499318,0,0,0.0583105694473752,0.200147089724774,0.141836520277399,0.0457028787560508,0.0157596133641554,0.0614624921202062,0.0992855641941793,0.00315192267283109,0.10243748686701,0.0661903761294529,0.0914057575121016,0,0.0992855641941793,0.0851019121664394,"AlaArmador",8
"1830","Pedro César Teruel Lima",360,"Pedro César Teruel Lima","Pedro","NBB 9",14,"Franca",860.7166666667,0.45543442480102,0.19518618205758,0.26024824274344,0.19518618205758,0.47402358499698,0.128962298859473,0.345061286137508,0.128962298859473,0.11618225122475,0.0952694460042951,0.020912805220455,1.04564026102275,0.626222334101403,0.419417926921348,0.0267219177816925,0.0755184632960875,0.0824893983695725,0.02788374029394,0.0952694460042951,0.0975930910287901,0.13012412137172,0.22771721240051,0.266057355304678,0,0,0.0429874329531575,0.15800786166566,0.115020428712503,0.0952694460042951,0.020912805220455,0.11618225122475,0.10224038107778,0,0.0952694460042951,0.104564026102275,0.07900393083283,0,0.085974865906315,0.0755184632960875,"AlaArmador",7
