"","X.2","predict","Ala","AlaArmador","AlaPivo","Armador","Pivo","jogador","id_jogador","jogador..3","jogador_apelido","Temporada","id_equipe","equipe","played_minutes","tried_two_points","made_two_points","lost_two_points","two_points","tried_three_points","made_three_points","lost_three_points","three_points","tried_free_throw_points","made_free_throw_points","lost_free_throw_points","tried_points","lost_points","total_points","offensive_rebounds","defensive_rebounds","total_assists","steals","free_throw_points","correct_two_points_throws","wrong_two_points_throws","two_points_throws_total","wrong_throws","tried_dunk_points","dunk_points","correct_three_points_throws","three_points_throws_total","wrong_three_points_throws","correct_free_throws","wrong_free_throws","total_free_throws","total_rebounds","total_of_blocks","commited_fouls","received_fouls","fouls","total_fouls","total_of_errors","mistakes","pos","exp","maxPosition","posGroup","totalPos","range","type","posingles","pos1","PG","SG","SF","PF","C"
"576",576,"Ala",0.44261981880252,0.0662551853015708,0.284929840351599,0.0584979579239989,0.147697197620311,"Rafael Fernandes Castellon",803,"Rafael Fernandes Castellon","Castellon","NBB 4",23,"L, Sorocabana",211.10003,0.170535267095888,0.0757934520426169,0.0947418150532712,0.151586904085234,0.118427268816589,0.0284225445159814,0.0900047243006076,0.0852676335479441,0.0805305427952805,0.0615821797846263,0.0189483630106542,0.776882883436824,0.5589767088143,0.298436717417804,0.0521079982792992,0.104215996558598,0.00947418150532712,0.0189483630106542,0.0615821797846263,0.0757934520426169,0.0947418150532712,0.170535267095888,0.47844616601902,0,0,0.0284225445159814,0.118427268816589,0.0900047243006076,0.0615821797846263,0.0189483630106542,0.0805305427952805,0.156323994837897,0,0.0805305427952805,0.0568450890319627,0.0805305427952805,0.0805305427952805,0.0805305427952805,0.0473709075266356,"Ala",3,0.44261981880252,"SF,PF",2,40,"Versatile","Small Forward","SF",0.0584979579239989,0.0662551853015708,0.44261981880252,0.284929840351599,0.147697197620311
"577",577,"AlaPivo",0.0513308390268394,0.00185592557100299,0.876755716146517,0.00204134045742338,0.0680161787982169,"Rafael Ferreira de Sousa",107,"Rafael Ferreira de Sousa","Mineiro","NBB 4",18,"Pinheiros",483.24998,0.219348172554503,0.148991211546455,0.0703569610080481,0.297982423092909,0.0455250924169723,0.0103466119129482,0.035178480504024,0.0310398357388447,0.0993274743643031,0.0600103490950998,0.0393171252692033,0.674599096724225,0.552509076151436,0.389032607926854,0.041386447651793,0.124159342955379,0.0393171252692033,0.041386447651793,0.0600103490950998,0.148991211546455,0.0703569610080481,0.219348172554503,0.562855688064384,0.0620796714776895,0.0620796714776895,0.0103466119129482,0.0455250924169723,0.035178480504024,0.0600103490950998,0.0393171252692033,0.0993274743643031,0.165545790607172,0.0475944147995619,0.136575277250917,0.0889808624513549,0.136575277250917,0.136575277250917,0.0620796714776895,0.0434557700343826,"AlaPivo",9,0.876755716146517,"PF",1,80,"Specialist","Power Forward","PF",0.00204134045742338,0.00185592557100299,0.0513308390268394,0.876755716146517,0.0680161787982169
"578",578,"Pivo",0.0249613690621358,0.022400901585063,0.0838537794037262,0.0183660774697582,0.850417872479317,"Rafael Paulo De Lara Araújo",191,"Rafael Paulo De Lara Araújo","Babby","NBB 4",14,"Franca",127.8167,0.305124447744309,0.133002964401365,0.172121483342943,0.266005928802731,0.0156474075766312,0,0.0156474075766312,0,0.0704133340948405,0.0547659265182093,0.0156474075766312,0.727604452313352,0.469422227298937,0.32077185532094,0.0469422227298937,0.172121483342943,0.0704133340948405,0.0234711113649468,0.0547659265182093,0.133002964401365,0.172121483342943,0.305124447744309,0.578954080335355,0.0156474075766312,0.0156474075766312,0,0.0156474075766312,0.0156474075766312,0.0547659265182093,0.0156474075766312,0.0704133340948405,0.219063706072837,0.00782370378831561,0.133002964401365,0.0938844454597873,0.133002964401365,0.133002964401365,0.0938844454597873,0.0547659265182093,"Pivo",6,0.850417872479317,"C",1,80,"Specialist","Center","C",0.0183660774697582,0.022400901585063,0.0249613690621358,0.0838537794037262,0.850417872479317
"579",579,"Pivo",0.00844504321240767,0.0122483213498165,0.0383980746791936,0.0108552744027705,0.930053286355812,"Rafael Rodrigues",35,"Rafael Rodrigues","Mineiro","NBB 4",23,"L, Sorocabana",473.4501,0.278804461124837,0.171084555690241,0.107719905434596,0.342169111380481,0.00422431001704298,0.00211215500852149,0.00211215500852149,0.00633646502556447,0.164748090664676,0.128841455519811,0.0359066351448653,0.735029942965478,0.671665292709834,0.477347031925857,0.0865983553493811,0.190093950766934,0.0274580151107794,0.0168972400681719,0.128841455519811,0.171084555690241,0.107719905434596,0.278804461124837,0.745590718008086,0.0464674101874728,0.0464674101874728,0.00211215500852149,0.00422431001704298,0.00211215500852149,0.128841455519811,0.0359066351448653,0.164748090664676,0.276692306116315,0.0274580151107794,0.15629947063059,0.124617145502768,0.15629947063059,0.15629947063059,0.0697011152812092,0.0401309451619083,"Pivo",8,0.930053286355812,"C",1,90,"Specialist","Center","C",0.0108552744027705,0.0122483213498165,0.00844504321240767,0.0383980746791936,0.930053286355812
"580",580,"Pivo",0.00867668356507108,0.0135552862933138,0.0406951978565514,0.0126333870776337,0.92443944520743,"Ralfi Silva Ansaloni",801,"Ralfi Silva Ansaloni","Ansaloni","NBB 4",23,"L, Sorocabana",155.21667,0.309245134559323,0.154622567279661,0.154622567279661,0.309245134559323,0.00644260696998589,0,0.00644260696998589,0,0.0837538906098166,0.0708686766698448,0.0128852139399718,0.72157198063842,0.528293771538843,0.380113811229168,0.103081711519774,0.135294746369704,0.0257704278799436,0.0128852139399718,0.0708686766698448,0.154622567279661,0.154622567279661,0.309245134559323,0.624932876088632,0,0,0,0.00644260696998589,0.00644260696998589,0.0708686766698448,0.0128852139399718,0.0837538906098166,0.238376457889478,0.00644260696998589,0.173950388189619,0.0708686766698448,0.173950388189619,0.173950388189619,0.0450982487899012,0.0322130348499295,"Pivo",8,0.92443944520743,"C",1,90,"Specialist","Center","C",0.0126333870776337,0.0135552862933138,0.00867668356507108,0.0406951978565514,0.92443944520743
"581",581,"AlaPivo",0.0858906892331546,0.00263435971040403,0.839876413369468,0.00270387258501211,0.0688946651019616,"Rashad Jamal Bishop",857,"Rashad Jamal Bishop","Bishop","NBB 4",1,"Joinville",831.9501,0.319730714618581,0.162269347644769,0.157461366973813,0.324538695289537,0.137027449122249,0.043271826038605,0.0937556230836441,0.129815478115815,0.13582545395451,0.0985636037546002,0.0372618501999098,1.18636923055842,1.18636923055842,0.552917777159952,0.0504837970450391,0.144239420128683,0.0396658405353879,0.045675816374083,0.0985636037546002,0.162269347644769,0.157461366973813,0.319730714618581,0.810144743056104,0.0336558646966928,0.0336558646966928,0.043271826038605,0.137027449122249,0.0937556230836441,0.0985636037546002,0.0372618501999098,0.13582545395451,0.194723217173722,0.00721197100643416,0.0745237003998197,0.0985636037546002,0.0745237003998197,0.0745237003998197,0.0673117293933855,0.0504837970450391,"AlaPivo",2,0.839876413369468,"PF",1,80,"Specialist","Power Forward","PF",0.00270387258501211,0.00263435971040403,0.0858906892331546,0.839876413369468,0.0688946651019616
"582",582,"AlaPivo",0.0306279719312639,0.00157211476777311,0.891089709123235,0.00163962719631109,0.075070576981417,"Renato Carbonari",145,"Renato Carbonari","Renato","NBB 4",17,"Paulistano",686.7668,0.240256226713347,0.145609834371726,0.0946463923416216,0.291219668743451,0.062612228779842,0.0247536718431934,0.0378585569366487,0.0742610155295801,0.0538756387175385,0.0407707536240832,0.0131048850934553,0.722224778483759,0.563510059018578,0.406251437897114,0.0611561304361248,0.119400064184815,0.0349463602492141,0.0262097701869106,0.0407707536240832,0.145609834371726,0.0946463923416216,0.240256226713347,0.518371010363343,0.0232975734994761,0.0232975734994761,0.0247536718431934,0.062612228779842,0.0378585569366487,0.0407707536240832,0.0131048850934553,0.0538756387175385,0.18055619462094,0.00582439337486902,0.103382982403925,0.0611561304361248,0.103382982403925,0.103382982403925,0.0655244254672765,0.0480512453426694,"AlaPivo",9,0.891089709123235,"PF",1,80,"Specialist","Power Forward","PF",0.00163962719631109,0.00157211476777311,0.0306279719312639,0.891089709123235,0.075070576981417
"583",583,"Ala",0.578371010473371,0.0950448530108541,0.069104727959589,0.218677180657736,0.0388022278984502,"Renato Lamas Pinto",117,"Renato Lamas Pinto","Renato Lamas","NBB 4",18,"Pinheiros",581.69993,0.111741460928146,0.0412583855734691,0.0704830753546764,0.0825167711469383,0.103145963933673,0.0326628885789964,0.0704830753546764,0.0979886657369892,0.0756403735513601,0.0481347831690473,0.0275055903823128,0.60856118720867,0.539797211252888,0.228640220052975,0.0171909939889455,0.0859549699447273,0.0893931687425164,0.03782018677568,0.0481347831690473,0.0412583855734691,0.0704830753546764,0.111741460928146,0.347258078576698,0.00343819879778909,0.00343819879778909,0.0326628885789964,0.103145963933673,0.0704830753546764,0.0481347831690473,0.0275055903823128,0.0756403735513601,0.103145963933673,0.00515729819668364,0.161595343496087,0.0601684789613091,0.161595343496087,0.161595343496087,0.0670448765568873,0.0515729819668364,"Ala",6,0.578371010473371,"SF,PG",2,50,"Versatile","Small Forward","SF",0.218677180657736,0.0950448530108541,0.578371010473371,0.069104727959589,0.0388022278984502
"584",584,"AlaPivo",0.0373433045790418,0.00169998574448573,0.910034144728245,0.00223812427978084,0.0486844406684464,"Renato Scholz da Silva",389,"Renato Scholz da Silva","Renato","NBB 4",1,"Joinville",210.76666,0.132848335690284,0.0521904175926117,0.0806579180976726,0.104380835185223,0.0711687512626523,0.0189783336700406,0.0521904175926117,0.0569350010101218,0.0189783336700406,0.0094891668350203,0.0094891668350203,0.498181258838566,0.3273762558082,0.170805003030365,0.0711687512626523,0.0996362517677132,0.0094891668350203,0.0237229170875508,0.0094891668350203,0.0521904175926117,0.0806579180976726,0.132848335690284,0.265696671380568,0,0,0.0189783336700406,0.0711687512626523,0.0521904175926117,0.0094891668350203,0.0094891668350203,0.0189783336700406,0.170805003030365,0.00474458341751015,0.118614585437754,0.0379566673400812,0.118614585437754,0.118614585437754,0.061679584427632,0.0332120839225711,"AlaPivo",5,0.910034144728245,"PF",1,90,"Specialist","Power Forward","PF",0.00223812427978084,0.00169998574448573,0.0373433045790418,0.910034144728245,0.0486844406684464
"585",585,"AlaArmador",0.198778245287264,0.613892101275812,0.016637303246803,0.16303843437344,0.00765391581668214,"Ricardo Augusto Lento Coelho dos Santos",784,"Ricardo Augusto Lento Coelho dos Santos","Ricardinho","NBB 4",29,"Tijuca",267.78342,0.10082775102357,0.0634841395333587,0.037343611490211,0.126968279066717,0.194186779749097,0.0634841395333587,0.130702640215739,0.190452418600076,0.0597497783843376,0.0410779726392321,0.0186718057451055,0.843965619678769,0.765544035549326,0.358498670306026,0.0037343611490211,0.0485466949372743,0.0522810560862954,0.0224061668941266,0.0410779726392321,0.0634841395333587,0.037343611490211,0.10082775102357,0.395842281796237,0,0,0.0634841395333587,0.194186779749097,0.130702640215739,0.0410779726392321,0.0186718057451055,0.0597497783843376,0.0522810560862954,0.0037343611490211,0.0672185006823798,0.0560154172353165,0.0672185006823798,0.0672185006823798,0.0597497783843376,0.0522810560862954,"AlaArmador",1,0.613892101275812,"SG",1,60,"Specialist","Shooting Guard","SG",0.16303843437344,0.613892101275812,0.198778245287264,0.016637303246803,0.00765391581668214
