"","predict","Ala","AlaArmador","AlaPivo","Armador","Pivo","X","jogador","id_jogador","Temporada","id_equipe","equipe","jogador_apelido","played_minutes","total_points","lost_points","tried_points","two_points","lost_two_points","tried_two_points","three_points","lost_three_points","free_throw_points","lost_free_throw_points","tried_free_throw_points","tried_three_points","dunk_points","tried_dunk_points","wrong_throws","correct_two_points_throws","two_points_throws_total","wrong_two_points_throws","correct_three_points_throws","three_points_throws_total","wrong_three_points_throws","correct_free_throws","wrong_free_throws","total_free_throws","total_rebounds","offensive_rebounds","defensive_rebounds","total_assists","steals","total_of_blocks","commited_fouls","received_fouls","fouls","total_fouls","total_of_errors","mistakes","total_of_violations","efficiency","plus_minus","altura","posicao"
"1569","Ala",0.647847118217061,0.0961024613257788,0.134764868593063,0.0475828867524504,0.0737026651116469,1805,"Jimmy Dreher de Oliveira",105,"NBB 8",54,"Mogi","Jimmy",676.7666666666,0.412254346648319,0.367925922277532,0.783135497217237,0.186179382357305,0.132985273112361,0.322119883761052,0.155149485297755,0.212776436979778,0.0709254789932592,0.0221642121853935,0.0930896911786527,0.367925922277532,0.0265970546224722,0.029552282913858,0.161059941880526,0.0930896911786527,0.159582327734833,0.0679702507018734,0.0517164950992515,0.122641974092511,0.0709254789932592,0.0709254789932592,0.0221642121853935,0.0930896911786527,0.118209131655432,0.0487612668078657,0.0694478648475663,0.0339851253509367,0.0369403536423225,0.0029552282913858,0.104910604344196,0.0812687780131095,0.0960449194700385,0,0.0650150224104876,0.0384179677880154,0.0177313697483148,256,63,1.91,"Ala"
"1571","Ala",0.654922903681412,0.0614792458934675,0.162374894345886,0.0579906718684522,0.0632322842107822,1809,"José Jairo Santos Gonçalves Júnior",11967,"NBB 8",222,"Vitória","Jairo",243.1333333332,0.246778173841649,0.50589525637538,0.752673430217029,0.0740334521524947,0.222100356457484,0.296133808609979,0.148066904304989,0.271455991225814,0.0246778173841649,0.0123389086920824,0.0370167260762473,0.419522895530803,0,0,0.213874417329429,0.0370167260762473,0.148066904304989,0.111050178228742,0.0493556347683298,0.139840965176934,0.0904853304086046,0.0246778173841649,0.0123389086920824,0.0370167260762473,0.135727995612907,0.0534686043323573,0.0822593912805496,0.0246778173841649,0.0534686043323573,0,0.127502056484852,0.0616945434604122,0.119276117356797,0,0.0534686043323573,0.0370167260762473,0.0164518782561099,47,-49,1.97,"Ala"
"1572","Ala",0.506897074269244,0.283152285768861,0.0640101859386825,0.130161597765961,0.0157788562572507,1811,"José Roberto Nardi Duarte",134,"NBB 8",210,"Caxias do Sul","Betinho",783.3166666666,0.412349198919161,0.568097193557358,0.980446392476519,0.148088257196974,0.211919402540498,0.360007659737472,0.183833698589347,0.321708972531358,0.0804272431328395,0.0344688184855026,0.114896061618342,0.505542671120705,0.00765973744122281,0.00765973744122281,0.247664843932871,0.0740441285984871,0.180003829868736,0.105959701270249,0.0612778995297824,0.168514223706902,0.107236324177119,0.0804272431328395,0.0344688184855026,0.114896061618342,0.123832421966435,0.0204259665099275,0.103406455456508,0.0740441285984871,0.0510649162748187,0.0038298687206114,0.0931934722015441,0.148088257196974,0.0855337347603213,0,0.0868103576671918,0.0663843911572643,0.0204259665099275,259,-148,1.95,"AlaArmador"
"1573","Pivo",0.0129832335109344,0.0149879161519243,0.0337356060578036,0.0131909927513273,0.92510225152801,1813,"João Paulo Lopes Batista",11957,"NBB 8",2,"Flamengo","Batista",846.0999999999,0.548398534452257,0.322656896347988,0.871055430800245,0.465665996927132,0.286018201158289,0.751684198085422,0,0.0141827207185929,0.082732537525125,0.0224559744711054,0.10518851199623,0.0141827207185929,0.00236378678643214,0.00236378678643214,0.170192648623114,0.232832998463566,0.375842099042711,0.143009100579145,0,0.00472757357286429,0.00472757357286429,0.082732537525125,0.0224559744711054,0.10518851199623,0.235196785249998,0.0626403498404518,0.172556435409546,0.0685498168065322,0.0248197612575375,0.0236378678643214,0.0969152582437179,0.09927904503015,0.0815506441319089,0,0.0862782177047732,0.0579127762675875,0.0177284008982411,545,278,2.06,"Pivo"
"1574","Pivo",0.0101081061173776,0.00932469177371036,0.0272644195539619,0.00984710865456432,0.943455673900386,1815,"João Pedro de Moraes Demétrio",1224,"NBB 8",14,"Franca","João Pedro",170.2166666666,0.264368941545193,0.234994614706838,0.499363556252031,0.223244883971496,0.199745422500813,0.422990306472309,0,0,0.0411240575736967,0.0352491922060258,0.0763732497797225,0,0,0,0.135121903456432,0.111622441985748,0.211495153236155,0.0998727112504063,0,0,0,0.0411240575736967,0.0352491922060258,0.0763732497797225,0.287868403015877,0.0881229805150644,0.199745422500813,0.0293743268383548,0.0117497307353419,0.0587486536767096,0.140996768824103,0.0763732497797225,0.140996768824103,0,0.0646235190443805,0.0469989229413677,0.0176245961030129,77,-16,2.08,"AlaPivo"
"1576","AlaArmador",0.0464254941439856,0.674849120920663,0.00424587920389009,0.271966358817298,0.00251314691416404,1820,"Kenny Montrell Dawkins",797,"NBB 8",17,"Paulistano","Dawkins",1007.3499999999,0.361344120712797,0.448702040006001,0.810046160718798,0.136993100709797,0.168759616816416,0.305752717526213,0.163796098674757,0.265051868764607,0.0605549213282435,0.0148905544249779,0.0754454757532214,0.428847967439364,0,0,0.187620985754722,0.0684965503548984,0.152876358763106,0.0843798084082081,0.0545986995582523,0.142949322479788,0.0883506229215355,0.0605549213282435,0.0148905544249779,0.0754454757532214,0.0764381793815532,0.0208467761949691,0.0555914031865842,0.1121755100015,0.0615476249565753,0.00099270362833186,0.0625403285849072,0.099270362833186,0.056584106814916,0,0.0694892539832302,0.0516205886732567,0.013897850796646,358,191,1.8,"Armador"
"1577","Armador",0.0406995660519021,0.0742944887326674,0.0093025895347556,0.870936994251683,0.0047663614289915,1821,"Larry James Taylor Jr",192,"NBB 8",54,"Mogi","Larry",1149.9333333335,0.399153574120181,0.528726302974009,0.92787987709419,0.229578526291346,0.227839295031563,0.457417821322909,0.109571569366324,0.279146617195159,0.0600034784625109,0.0217403907472865,0.0817438692097974,0.388718186561483,0,0,0.228708910661454,0.114789263145673,0.228708910661454,0.113919647515781,0.0365238564554414,0.129572728853828,0.0930488723983864,0.0600034784625109,0.0217403907472865,0.0817438692097974,0.150443503971223,0.033915009565767,0.116528494405456,0.136529653892959,0.0600034784625109,0.00521769377934877,0.0608730940924023,0.0991361818076266,0.0591338628326194,0,0.0486984752739219,0.0417415502347902,0.00608730940924023,545,120,1.91,"Armador"
"1581","Pivo",0.0220145671526723,0.0160978229581572,0.0787511040360814,0.0145839859300114,0.868552519923078,1825,"Leonardo Demétrio",823,"NBB 8",16,"Minas","Léo Demétrio",757.0499999998,0.468925434251494,0.482134601413508,0.951060035665003,0.36985668053639,0.311736345023529,0.681593025559919,0.0396275014860418,0.110957004160917,0.0594412522290627,0.0594412522290627,0.118882504458125,0.150584505646959,0.0422693349184446,0.0422693349184446,0.252295092794466,0.184928340268195,0.340796512779959,0.155868172511764,0.0132091671620139,0.0501948352156529,0.036985668053639,0.0594412522290627,0.0594412522290627,0.118882504458125,0.245690509213459,0.0885014199854933,0.157189089227966,0.0343438346212362,0.0277392510402292,0.0237765008916251,0.0924641701340975,0.103031503863709,0.0871805032692919,0,0.0409484182022432,0.0224555841754237,0.0145300838782153,384,-39,2.08,"AlaPivo"
"1582","Pivo",0.170901307684476,0.0925806779957691,0.0878186942446084,0.177820206262103,0.470879113813043,1826,"Leonardo Di Pacce Dos Santos",102,"NBB 8",18,"Pinheiros","Morro",241.6666666668,0.128275862068895,0.140689655172336,0.268965517241231,0.0827586206896095,0.124137931034414,0.206896551724024,0,0,0.0455172413792852,0.0165517241379219,0.0620689655172071,0,0,0,0.078620689655129,0.0413793103448048,0.103448275862012,0.0620689655172071,0,0,0,0.0455172413792852,0.0165517241379219,0.0620689655172071,0.1696551724137,0.078620689655129,0.0910344827585705,0.0579310344827267,0.0372413793103243,0.0165517241379219,0.1696551724137,0.0455172413792852,0.153103448275778,0,0.0496551724137657,0.0248275862068829,0.0124137931034414,68,29,1.91,"Pivo"
"1583","Armador",0.135239481545146,0.117795842675876,0.0221124784407627,0.70568170032434,0.0191704970138755,1827,"Leonardo Joanes Eltink",1235,"NBB 8",13,"Bauru","Eltink",131.0833333335,0.190718372536312,0.350921805466814,0.541640178003126,0.0610298792116198,0.0915448188174297,0.15257469802905,0.0915448188174297,0.251748251747932,0.0381436745072624,0.00762873490145248,0.0457724094087149,0.343293070565361,0,0,0.137317228226145,0.0305149396058099,0.0762873490145248,0.0457724094087149,0.0305149396058099,0.114431023521787,0.0839160839159772,0.0381436745072624,0.00762873490145248,0.0457724094087149,0.137317228226145,0.0610298792116198,0.0762873490145248,0.0991735537188822,0.0228862047043574,0,0.129688493324692,0.0610298792116198,0.12205975842324,0,0.0457724094087149,0.0228862047043574,0.015257469802905,35,-54,1.91,"Ala"
